aika_fi,toteutunut_MW,fingrid_ennuste_MW
2026-08-31 16:15:00+03:00,9008.43,11997.0
2026-08-31 16:30:00+03:00,9028.33,11997.0
2026-08-31 16:45:00+03:00,8863.52,11997.0
2026-08-31 17:00:00+03:00,8953.85,11997.0
2026-08-31 17:15:00+03:00,8933.65,11997.0
2026-08-31 17:30:00+03:00,8844.74,11997.0
2026-08-31 17:45:00+03:00,8793.37,11997.0
2026-08-31 18:00:00+03:00,8884.87,11997.0
2026-08-31 18:15:00+03:00,8864.5,11997.0
2026-08-31 18:30:00+03:00,8799.95,11997.0
2026-08-31 18:45:00+03:00,8641.91,11997.0
2026-08-31 19:00:00+03:00,8664.34,11997.0
2026-08-31 19:15:00+03:00,8553.47,11997.0
2026-08-31 19:30:00+03:00,8466.53,11997.0
2026-08-31 19:45:00+03:00,8628.42,11997.0
2026-08-31 20:00:00+03:00,8647.5,11997.0
2026-08-31 20:15:00+03:00,8583.1,11997.0
2026-08-31 20:30:00+03:00,8551.8,11997.0
2026-08-31 20:45:00+03:00,8635.98,11997.0
2026-08-31 21:00:00+03:00,8536.89,11997.0
2026-08-31 21:15:00+03:00,8550.72,11997.0
2026-08-31 21:30:00+03:00,8469.11,11997.0
2026-08-31 21:45:00+03:00,8330.09,11997.0
2026-08-31 22:00:00+03:00,8389.86,11997.0
2026-08-31 22:15:00+03:00,8545.86,11997.0
2026-08-31 22:30:00+03:00,8496.54,11997.0
2026-08-31 22:45:00+03:00,8388.74,11997.0
2026-08-31 23:00:00+03:00,8274.86,11997.0
2026-08-31 23:15:00+03:00,8223.25,11997.0
2026-08-31 23:30:00+03:00,8221.95,11997.0
2026-08-31 23:45:00+03:00,8296.8,11997.0
2026-09-01 00:00:00+03:00,8145.46,11997.0
2026-09-01 00:15:00+03:00,8008.42,11997.0
2026-09-01 00:30:00+03:00,7849.83,11997.0
2026-09-01 00:45:00+03:00,7690.8,11997.0
2026-09-01 01:00:00+03:00,7563.34,11997.0
2026-09-01 01:15:00+03:00,7619.74,11997.0
2026-09-01 01:30:00+03:00,7710.89,11997.0
2026-09-01 01:45:00+03:00,7705.85,11997.0
2026-09-01 02:00:00+03:00,7666.28,11997.0
2026-09-01 02:15:00+03:00,7454.36,11997.0
2026-09-01 02:30:00+03:00,7479.18,11997.0
2026-09-01 02:45:00+03:00,7561.0,11997.0
2026-09-01 03:00:00+03:00,7532.54,11997.0
2026-09-01 03:15:00+03:00,7481.04,11997.0
2026-09-01 03:30:00+03:00,7406.96,11997.0
2026-09-01 03:45:00+03:00,7560.29,11997.0
2026-09-01 04:00:00+03:00,7523.28,11997.0
2026-09-01 04:15:00+03:00,7522.9,11997.0
2026-09-01 04:30:00+03:00,7516.2,11997.0
2026-09-01 04:45:00+03:00,7577.55,11997.0
2026-09-01 05:00:00+03:00,7729.12,11997.0
2026-09-01 05:15:00+03:00,7775.1,11997.0
2026-09-01 05:30:00+03:00,7882.28,11997.0
2026-09-01 05:45:00+03:00,7926.21,11997.0
2026-09-01 06:00:00+03:00,8127.98,11997.0
2026-09-01 06:15:00+03:00,8131.39,11997.0
2026-09-01 06:30:00+03:00,8275.58,11997.0
2026-09-01 06:45:00+03:00,8415.54,11997.0
2026-09-01 07:00:00+03:00,8808.62,11997.0
2026-09-01 07:15:00+03:00,8842.04,11997.0
2026-09-01 07:30:00+03:00,8782.45,11997.0
2026-09-01 07:45:00+03:00,8800.27,11997.0
2026-09-01 08:00:00+03:00,8912.09,11997.0
2026-09-01 08:15:00+03:00,8957.43,11997.0
2026-09-01 08:30:00+03:00,9053.25,11997.0
2026-09-01 08:45:00+03:00,8978.65,11997.0
2026-09-01 09:00:00+03:00,8939.68,11997.0
2026-09-01 09:15:00+03:00,8947.87,11997.0
2026-09-01 09:30:00+03:00,8853.47,11997.0
2026-09-01 09:45:00+03:00,8841.99,11997.0
2026-09-01 10:00:00+03:00,8882.71,11997.0
2026-09-01 10:15:00+03:00,8951.29,11997.0
2026-09-01 10:30:00+03:00,8884.07,11997.0
2026-09-01 10:45:00+03:00,8916.83,11997.0
2026-09-01 11:00:00+03:00,8981.7,11997.0
2026-09-01 11:15:00+03:00,9008.5,11997.0
2026-09-01 11:30:00+03:00,9109.57,11997.0
